sofascore_event_id,tourney_date,surface,winner_name,loser_name,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_bpSaved,l_bpFaced
15345256,2026-01-21,Hard,Nuno Borges,Jordan Thompson,10,4,130,89,64,24,5.0,7.0,12,1,121,70,46,26,1.0,7.0
15345288,2026-01-21,Hard,Francisco Cerundolo,Damir Dzumhur,10,1,66,36,29,20,2.0,3.0,3,1,78,50,29,12,5.0,12.0
15345286,2026-01-21,Hard,Alex de Minaur,Hamad Medjedovic,12,4,110,76,58,21,2.0,3.0,19,11,137,88,58,18,14.0,21.0
15345254,2026-01-21,Hard,Fabian Marozsan,Kamil Majchrzak,5,2,116,83,50,18,8.0,12.0,3,4,119,80,46,13,8.0,14.0
15345301,2026-01-21,Hard,Tommy Paul,Thiago Agustin Tirante,4,1,82,47,37,23,4.0,4.0,12,3,85,48,36,11,6.0,10.0
15345299,2026-01-21,Hard,Alejandro Davidovich Fokina,Reilly Opelka,12,1,165,129,99,19,9.0,11.0,37,12,161,107,80,31,9.0,11.0
15345253,2026-01-21,Hard,Daniil Medvedev,Quentin Halys,14,6,145,98,72,26,10.0,12.0,6,6,115,75,54,16,4.0,10.0
15345285,2026-01-21,Hard,Carlos Alcaraz,Yannick Hanfmann,12,3,111,71,49,24,6.0,7.0,7,4,100,62,43,17,5.0,9.0
15345256,2026-01-21,Hard,Nuno Borges,Jordan Thompson,10,4,130,89,64,24,5.0,7.0,12,1,121,70,46,26,1.0,7.0
15345291,2026-01-21,Hard,Frances Tiafoe,Francisco Comesana,7,1,108,60,52,25,4.0,5.0,15,5,123,82,57,17,12.0,17.0
15345297,2026-01-21,Hard,Corentin Moutet,Michael Zheng,10,5,76,46,33,16,4.0,7.0,3,1,84,62,37,6,0.0,7.0
15345292,2026-01-21,Hard,Andrey Rublev,Jaime Faria,6,3,125,88,67,20,10.0,12.0,10,5,120,77,53,22,4.0,9.0
15345289,2026-01-21,Hard,Cameron Norrie,Emilio Nava,5,2,144,96,66,32,7.0,10.0,19,5,148,99,65,26,15.0,19.0
15345255,2026-01-21,Hard,Learner Tien,Alexander Shevchenko,9,2,92,55,45,19,2.0,4.0,4,1,94,59,31,17,4.0,13.0
15345290,2026-01-21,Hard,Alexander Zverev,Alexandre Muller,18,1,108,73,52,22,5.0,8.0,4,2,125,87,56,17,10.0,16.0
15345298,2026-01-21,Hard,Alexander Bublik,Marton Fucsovics,12,4,90,63,48,14,0.0,2.0,6,6,119,72,44,26,8.0,13.0
15345284,2026-01-21,Hard,Tomas Martin Etcheverry,Arthur Fery,11,1,102,70,47,23,9.0,10.0,5,1,92,60,39,15,6.0,11.0
15345269,2026-01-22,Hard,Luciano Darderi,Sebastian Baez,10,1,104,61,39,23,5.0,10.0,4,3,105,72,34,17,8.0,14.0
15345303,2026-01-22,Hard,Valentin Vacherot,Rinky Hijikata,15,4,99,60,50,22,4.0,5.0,5,5,109,77,47,16,5.0,11.0
15345302,2026-01-22,Hard,Ben Shelton,Dane Sweeny,19,2,64,43,38,15,0.0,0.0,0,5,80,56,34,10,7.0,12.0
15345305,2026-01-22,Hard,Ethan Quinn,Hubert Hurkacz,12,2,108,72,56,21,8.0,8.0,9,1,95,57,38,20,4.0,7.0
15345243,2026-01-22,Hard,Lorenzo Musetti,Lorenzo Sonego,2,2,87,58,40,17,4.0,6.0,5,6,116,77,47,13,17.0,23.0
15345251,2026-01-22,Hard,Stan Wawrinka,Arthur Gea,11,3,177,139,92,23,10.0,14.0,13,7,170,121,83,23,9.0,13.0
15345242,2026-01-22,Hard,Novak Djokovic,Francesco Maestrelli,4,4,78,52,45,9,4.0,5.0,10,4,93,56,30,15,10.0,16.0
15345250,2026-01-22,Hard,Tomas Machac,Stefanos Tsitsipas,6,6,139,97,67,28,7.0,10.0,24,8,135,83,65,26,0.0,3.0
15345246,2026-01-22,Hard,Marin Cilic,Denis Shapovalov,5,5,91,54,43,17,4.0,6.0,3,7,82,47,29,12,6.0,12.0
15345306,2026-01-22,Hard,Taylor Fritz,Vit Kopriva,15,1,90,70,54,13,2.0,3.0,3,2,91,53,30,22,3.0,7.0
15345274,2026-01-22,Hard,Eliot Spizzirri,Yibing Wu,8,4,170,117,81,28,11.0,14.0,11,6,164,109,76,23,9.0,15.0
15345268,2026-01-22,Hard,Jannik Sinner,James Duckworth,18,2,80,53,43,18,3.0,3.0,9,4,79,50,35,8,9.0,14.0
15345304,2026-01-22,Hard,Casper Ruud,Jaume Munar,5,3,97,56,45,24,2.0,2.0,5,4,89,43,30,28,7.0,10.0
15345304,2026-01-22,Hard,Casper Ruud,Jaume Munar,5,3,97,56,45,24,2.0,2.0,5,4,89,43,30,28,7.0,10.0
15345247,2026-01-22,Hard,Botic Van de Zandschulp,Juncheng Shang,15,6,94,64,56,13,1.0,1.0,2,3,101,68,46,16,9.0,13.0
15345245,2026-01-22,Hard,Jakub Mensik,Rafael Jodar,9,2,90,55,44,15,4.0,6.0,3,1,85,52,31,16,5.0,11.0
15345262,2026-01-22,Hard,Karen Khachanov,Nishesh Basavareddy,15,1,70,49,41,14,4.0,4.0,10,3,94,45,32,18,7.0,12.0
